target,motif_type,feature_idx,graph_idx,num_edges,num_motif_edges,gnn_auroc,sae_auroc,gnn_auprc,sae_auprc,gnn_sparsity,sae_sparsity,motif_node
single_input_module,single_input_module,112,19,7,4,0.5,0.5,0.5714285714285714,0.5714285714285714,0.0,0.0,5
cascade,cascade,120,0,6,6,,,1.0,1.0,0.0,0.16666666666666666,1
cascade,cascade,120,1,6,6,,,1.0,1.0,0.0,0.3333333333333333,0
cascade,cascade,120,2,6,6,,,1.0,1.0,0.0,0.16666666666666666,0
cascade,cascade,120,3,6,6,,,1.0,1.0,0.0,0.5,0
cascade,cascade,120,4,6,6,,,1.0,1.0,0.0,0.5,0
cascade,cascade,120,5,6,6,,,1.0,1.0,0.0,0.16666666666666666,0
cascade,cascade,120,6,6,6,,,1.0,1.0,0.0,0.16666666666666666,0
cascade,cascade,120,7,6,6,,,1.0,1.0,0.0,0.5,0
cascade,cascade,120,8,6,6,,,1.0,1.0,0.0,0.16666666666666666,0
cascade,cascade,120,9,6,6,,,1.0,1.0,0.0,0.3333333333333333,0
cascade,cascade,120,10,6,6,,,1.0,1.0,0.0,0.16666666666666666,0
cascade,cascade,120,11,6,6,,,1.0,1.0,0.0,0.5,0
cascade,cascade,120,12,6,6,,,1.0,1.0,0.0,0.16666666666666666,1
cascade,cascade,120,13,6,6,,,1.0,1.0,0.0,0.16666666666666666,1
cascade,cascade,120,14,6,6,,,1.0,1.0,0.0,0.5,0
cascade,cascade,120,15,6,6,,,1.0,1.0,0.0,0.5,0
cascade,cascade,120,16,6,6,,,1.0,1.0,0.0,0.16666666666666666,0
cascade,cascade,120,17,6,6,,,1.0,1.0,0.0,0.16666666666666666,0
cascade,cascade,120,18,6,6,,,1.0,1.0,0.0,0.16666666666666666,0
cascade,cascade,120,19,6,6,,,1.0,1.0,0.0,0.16666666666666666,0
