,gnn_auroc,gnn_auroc,sae_auroc,sae_auroc,gnn_auprc,gnn_auprc,sae_auprc,sae_auprc,gnn_sparsity,gnn_sparsity,sae_sparsity,sae_sparsity
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
target,,,,,,,,,,,,
cascade,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.283,0.154
feedback_loop,,,,,1.0,0.0,1.0,0.0,0.14,0.05,0.04,0.05
feedforward_loop,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
single_input_module,0.5,0.0,0.5,0.0,0.529,0.036,0.529,0.036,0.0,0.0,0.0,0.0
