graph_id,feature_idx,has_motif,loss_original,loss_patched,delta_loss,n_patched_nodes
2827,0,0,0.0002310079289600253,0.0002310079289600253,0.0,5
1908,0,0,0.012098222970962524,0.013447731733322144,0.0013495087623596191,5
2200,0,0,0.0002796605112962425,0.0002796605112962425,0.0,5
3426,0,0,0.006718490272760391,0.006718490272760391,0.0,5
944,0,0,0.015373844653367996,0.015373844653367996,0.0,5
1295,0,0,0.0013011344708502293,0.0013379064621403813,3.677199129015207e-05,5
433,0,0,0.022361399605870247,0.022361399605870247,0.0,5
3951,0,0,0.002488591242581606,0.002488591242581606,0.0,5
551,0,0,0.006834013387560844,0.006834013387560844,0.0,5
2794,0,0,6.248215504456311e-05,6.248215504456311e-05,0.0,5
1786,0,0,0.012899838387966156,0.012899838387966156,0.0,5
1852,0,0,0.00322444224730134,0.0033984791953116655,0.00017403694801032543,5
2601,0,0,0.010005136951804161,0.010005136951804161,0.0,5
2830,0,0,3.5812721762340516e-05,3.5812721762340516e-05,0.0,5
1822,0,0,0.013061725534498692,0.011801972053945065,-0.001259753480553627,5
3306,0,0,0.003050473053008318,0.003050473053008318,0.0,5
249,0,0,0.002047420246526599,0.002047420246526599,0.0,5
3553,0,0,0.003486942034214735,0.003486942034214735,0.0,5
2217,0,0,0.012851649895310402,0.012851649895310402,0.0,5
3602,0,0,0.004154055844992399,0.004154055844992399,0.0,5
3989,0,0,0.0004801230679731816,0.0004801230679731816,0.0,5
1205,0,0,0.00632676063105464,0.00632676063105464,0.0,5
2712,0,0,1.5101801182026975e-05,1.5101801182026975e-05,0.0,5
3307,0,0,0.0092315049842,0.0092315049842,0.0,5
2899,0,0,0.0002982549194712192,0.0002982549194712192,0.0,5
2831,0,0,2.4469931304338388e-05,2.4469931304338388e-05,0.0,5
1451,0,0,0.005780490580946207,0.00681329146027565,0.001032800879329443,5
3009,0,0,0.0018336300272494555,0.0018336300272494555,0.0,5
588,0,0,0.00296778860501945,0.00296778860501945,0.0,5
1366,0,0,0.00010693543299566954,0.00010693543299566954,0.0,5
2374,0,0,2.1787700461572967e-05,2.1787700461572967e-05,0.0,5
3842,0,0,0.001888556289486587,0.001888556289486587,0.0,5
952,0,0,0.0002310993440914899,0.0002310993440914899,0.0,5
3552,0,0,0.004765144549310207,0.004765144549310207,0.0,5
3684,0,0,2.4042805307544768e-05,2.4042805307544768e-05,0.0,5
550,0,0,0.00028887923690490425,0.00028887923690490425,0.0,5
2055,0,0,8.938927931012586e-05,8.938927931012586e-05,0.0,5
3215,0,0,0.002570677548646927,0.002570677548646927,0.0,5
2762,0,0,0.00023955061624292284,0.00023955061624292284,0.0,5
136,0,0,0.0035295940469950438,0.0035295940469950438,0.0,5
1132,0,0,0.0028555216267704964,0.004183988552540541,0.0013284669257700443,5
649,0,0,0.0020676765125244856,0.0020676765125244856,0.0,5
3397,0,0,0.003924269694834948,0.003924269694834948,0.0,5
827,0,0,0.0013946436811238527,0.0013946436811238527,0.0,5
3776,0,0,0.003691371064633131,0.003691371064633131,0.0,5
