,feature,motif,rpb,pval,rpb_abs,rpb_partial,pval_partial,rpb_partial_abs,variant,latent_dim,k,sparsity_coef,threshold_init,bandwidth,num_experts,latent_per_expert,k_per_expert,p_empirical,p_fdr,significant_fdr
15,z6,in_feedback_loop,0.1928577594104875,8.070885524332443e-35,0.1928577594104875,0.14538121199627874,2.4426001471295596e-20,0.14538121199627874,topk,128.0,4.0,,,,,,,8.070885524332443e-35,8.070885524332443e-35,True
16,z11,in_feedback_loop,0.2597675934130949,1.077241528945487e-62,0.2597675934130949,0.20760740796510369,3.4107902237019837e-40,0.20760740796510369,topk,128.0,4.0,,,,,,,1.077241528945487e-62,1.077241528945487e-62,True
17,z12,in_feedback_loop,0.19086320040422713,3.9922382183585996e-34,0.19086320040422713,0.14979486522569305,1.6554626922896035e-21,0.14979486522569305,topk,128.0,4.0,,,,,,,3.9922382183585996e-34,3.9922382183585996e-34,True
18,z16,in_feedback_loop,0.18159753764734782,5.32508936250007e-31,0.18159753764734782,0.1479174212157352,5.2543705391493354e-21,0.1479174212157352,topk,128.0,4.0,,,,,,,5.32508936250007e-31,5.32508936250007e-31,True
19,z17,in_feedback_loop,0.16808399125703152,9.803049977228705e-27,0.16808399125703152,0.13219410792438818,4.661248279782454e-17,0.13219410792438818,topk,128.0,4.0,,,,,,,9.803049977228705e-27,9.803049977228705e-27,True
20,z49,in_feedback_loop,0.1933585303589182,5.387651219395049e-35,0.1933585303589182,0.1455983058825639,2.1438365434011394e-20,0.1455983058825639,topk,128.0,4.0,,,,,,,5.387651219395049e-35,5.387651219395049e-35,True
21,z53,in_feedback_loop,0.19118149023746506,3.0969625530191793e-34,0.19118149023746506,0.14947992405477478,2.011477924042847e-21,0.14947992405477478,topk,128.0,4.0,,,,,,,3.0969625530191793e-34,3.0969625530191793e-34,True
22,z62,in_feedback_loop,0.1928484563627999,8.131625138974159e-35,0.1928484563627999,0.1452539696775474,2.6364651869792582e-20,0.1452539696775474,topk,128.0,4.0,,,,,,,8.131625138974159e-35,8.131625138974159e-35,True
23,z75,in_feedback_loop,0.17300472475680134,3.0078760530630982e-28,0.17300472475680134,0.1344486000491114,1.349027946953297e-17,0.1344486000491114,topk,128.0,4.0,,,,,,,3.0078760530630982e-28,3.0078760530630982e-28,True
24,z79,in_feedback_loop,0.15018911483370073,1.2964728702899683e-21,0.15018911483370073,0.11517697458160203,2.742289355198115e-13,0.11517697458160203,topk,128.0,4.0,,,,,,,1.2964728702899683e-21,1.2964728702899683e-21,True
25,z110,in_feedback_loop,0.261271906755289,1.9943956212341892e-63,0.261271906755289,0.20849437899176954,1.5707885298763234e-40,0.20849437899176954,topk,128.0,4.0,,,,,,,1.9943956212341892e-63,1.9943956212341892e-63,True
26,z113,in_feedback_loop,0.18054040242876276,1.181532723365401e-30,0.18054040242876276,0.14662511588509425,1.1535276076696537e-20,0.14662511588509425,topk,128.0,4.0,,,,,,,1.181532723365401e-30,1.181532723365401e-30,True
27,z114,in_feedback_loop,-0.5363079860263521,8.598239513562134e-297,0.5363079860263521,-0.5213870990461154,9.32345356162411e-278,0.5213870990461154,topk,128.0,4.0,,,,,,,8.598239513562134e-297,8.598239513562134e-297,True
28,z115,in_feedback_loop,0.148737575713213,3.1782991856209736e-21,0.148737575713213,0.11263015303047157,9.073867709858302e-13,0.11263015303047157,topk,128.0,4.0,,,,,,,3.1782991856209736e-21,3.1782991856209736e-21,True
29,z124,in_feedback_loop,0.18161688710582793,5.247734054643162e-31,0.18161688710582793,0.14809326723907018,4.718612967454587e-21,0.14809326723907018,topk,128.0,4.0,,,,,,,5.247734054643162e-31,5.247734054643162e-31,True
30,z6,in_single_input_module,-0.12028017989081587,2.301864374751061e-14,0.12028017989081587,-0.11714238497381833,1.0695252747326889e-13,0.11714238497381833,topk,128.0,4.0,,,,,,,2.301864374751061e-14,2.301864374751061e-14,True
31,z11,in_single_input_module,-0.16881478476309714,5.881988164300196e-27,0.16881478476309714,-0.16092216993130365,1.2956288591848818e-24,0.16092216993130365,topk,128.0,4.0,,,,,,,5.881988164300196e-27,5.881988164300196e-27,True
32,z12,in_single_input_module,-0.11665564958473187,1.3523879708469223e-13,0.11665564958473187,-0.11130030469080962,1.6771653843127883e-12,0.11130030469080962,topk,128.0,4.0,,,,,,,1.3523879708469223e-13,1.3523879708469223e-13,True
33,z16,in_single_input_module,-0.12124441655285721,1.4241245005131907e-14,0.12124441655285721,-0.11012868897344574,2.8643163264256017e-12,0.11012868897344574,topk,128.0,4.0,,,,,,,1.4241245005131907e-14,1.4241245005131907e-14,True
34,z17,in_single_input_module,-0.11570244508792946,2.1352914248732822e-13,0.11570244508792946,-0.10632121744494552,1.5691351388347033e-11,0.10632121744494552,topk,128.0,4.0,,,,,,,2.1352914248732822e-13,2.1352914248732822e-13,True
35,z49,in_single_input_module,-0.12057328633561423,1.9900614238756164e-14,0.12057328633561423,-0.11755350268542623,8.765659493567954e-14,0.11755350268542623,topk,128.0,4.0,,,,,,,1.9900614238756164e-14,1.9900614238756164e-14,True
36,z53,in_single_input_module,-0.11707510682507753,1.1048480187393126e-13,0.11707510682507753,-0.11182104253865062,1.3197234504593265e-12,0.11182104253865062,topk,128.0,4.0,,,,,,,1.1048480187393126e-13,1.1048480187393126e-13,True
37,z62,in_single_input_module,-0.12029204042139166,2.2883623381283083e-14,0.12029204042139166,-0.11718152845859658,1.0494869841169559e-13,0.11718152845859658,topk,128.0,4.0,,,,,,,2.2883623381283083e-14,2.2883623381283083e-14,True
38,z75,in_single_input_module,-0.10825199536536315,6.672571324731355e-12,0.10825199536536315,-0.10267982622773247,7.554047493010775e-11,0.10267982622773247,topk,128.0,4.0,,,,,,,6.672571324731355e-12,6.672571324731355e-12,True
39,z79,in_single_input_module,-0.1008937312272916,1.6011713996334888e-10,0.1008937312272916,-0.09415186903730391,2.430178107918568e-09,0.09415186903730391,topk,128.0,4.0,,,,,,,1.6011713996334888e-10,1.6011713996334888e-10,True
40,z110,in_single_input_module,-0.1693448535454344,4.055000947820414e-27,0.1693448535454344,-0.16179253406842897,7.241286763733981e-25,0.16179253406842897,topk,128.0,4.0,,,,,,,4.055000947820414e-27,4.055000947820414e-27,True
41,z113,in_single_input_module,-0.12092154180907536,1.6732463488982693e-14,0.12092154180907536,-0.1099961216741169,3.042068456064252e-12,0.1099961216741169,topk,128.0,4.0,,,,,,,1.6732463488982693e-14,1.6732463488982693e-14,True
42,z114,in_single_input_module,0.3777181065192248,7.675159866883376e-136,0.3777181065192248,0.4230498626496069,1.8903511396382966e-173,0.4230498626496069,topk,128.0,4.0,,,,,,,7.675159866883376e-136,7.675159866883376e-136,True
43,z115,in_single_input_module,-0.10133866995267206,1.3294934432910086e-10,0.10133866995267206,-0.09501838081539847,1.7308722411959399e-09,0.09501838081539847,topk,128.0,4.0,,,,,,,1.3294934432910086e-10,1.3294934432910086e-10,True
44,z124,in_single_input_module,-0.12122174550538745,1.440356561090594e-14,0.12122174550538745,-0.11008074277439593,2.9273970466170847e-12,0.11008074277439593,topk,128.0,4.0,,,,,,,1.440356561090594e-14,1.440356561090594e-14,True
45,z6,in_cascade,-0.01045568980001765,0.508556344867223,0.01045568980001765,5.624815777273071e-07,0.999971624560141,5.624815777273071e-07,topk,128.0,4.0,,,,,,,0.508556344867223,0.508556344867223,False
46,z11,in_cascade,0.010367750395250648,0.5121286464751196,0.010367750395250648,1.5218569039136993e-05,0.9992322708137167,1.5218569039136993e-05,topk,128.0,4.0,,,,,,,0.5121286464751196,0.5121286464751196,False
47,z12,in_cascade,-0.0008880858105455437,0.9552223646032162,0.0008880858105455437,-2.518260873513728e-05,0.9987296165309892,2.518260873513728e-05,topk,128.0,4.0,,,,,,,0.9552223646032162,0.9552223646032162,False
48,z16,in_cascade,0.021726459641825083,0.1694930237403337,0.021726459641825083,6.96201509739567e-06,0.999648788080949,6.96201509739567e-06,topk,128.0,4.0,,,,,,,0.1694930237403337,0.1694930237403337,False
49,z17,in_cascade,0.014716385225079722,0.35210946467948456,0.014716385225079722,3.5044653637445085e-05,0.9982321080585759,3.5044653637445085e-05,topk,128.0,4.0,,,,,,,0.35210946467948456,0.35210946467948456,False
50,z49,in_cascade,-0.010882550450268223,0.4914035499457305,0.010882550450268223,3.196726849367601e-06,0.9998387351098229,3.196726849367601e-06,topk,128.0,4.0,,,,,,,0.4914035499457305,0.4914035499457305,False
51,z53,in_cascade,-0.001432242439640006,0.9278464276554947,0.001432242439640006,1.2277122288513291e-05,0.9993806575645888,1.2277122288513291e-05,topk,128.0,4.0,,,,,,,0.9278464276554947,0.9278464276554947,False
52,z62,in_cascade,-0.0105811178617535,0.5034838543675827,0.0105811178617535,1.1407198808609069e-05,0.9994245424764652,1.1407198808609069e-05,topk,128.0,4.0,,,,,,,0.5034838543675827,0.5034838543675827,False
53,z75,in_cascade,0.0004565372246112037,0.9769723186162564,0.0004565372246112037,2.0369751856725432e-05,0.9989724098850409,2.0369751856725432e-05,topk,128.0,4.0,,,,,,,0.9769723186162564,0.9769723186162564,False
54,z79,in_cascade,0.00542080466050828,0.7317962089415257,0.00542080466050828,6.179303032141301e-06,0.9996882734580648,6.179303032141301e-06,topk,128.0,4.0,,,,,,,0.7317962089415257,0.7317962089415257,False
55,z110,in_cascade,0.009120191829350458,0.5641804493635229,0.009120191829350458,5.700626984274371e-06,0.9997124211688366,5.700626984274371e-06,topk,128.0,4.0,,,,,,,0.5641804493635229,0.5641804493635229,False
